Name,Coordinates,Population
Mae Chan,"20.14675, 99.85256",37672
Kantang,"7.40542, 99.51561",14156
Nuea Khlong,"8.07143, 98.99933",12217
Bang Lamung,"13.04704, 100.92891",39620
Zhutuo,"29.0184, 105.84877",58262
Lishui,"28.46042, 119.91029",451418
Tongjiaxi,"29.68497, 106.44442",21820
Qitaihe,"45.768, 130.9953",345033
Pulandian,"39.39528, 121.96694",104277
Baoshan,"46.57472, 131.39318",123791
Trinidad,"-14.83333, -64.9",84259
Uberaba,"-19.74833, -47.93194",260843
Saint-Léonard,"45.58773, -73.59501",73423
Caulfield North,"-37.8739, 145.02485",16903
Ecublens,"46.52899, 6.56261",10262
Vail,"32.04786, -110.71203",10208
Berkley,"39.80443, -105.02609",11207
Buzovna,"40.51903, 50.11438",24795
Hải Dương,"20.94099, 106.33302",58030
Murraysville,"34.29572, -77.84748",14215
Mesquite,"32.7668, -96.59916",144788
Burbank,"41.73392, -87.7795",29128
Battambang,"13.10271, 103.19822",119251
Dobele,"56.62372, 23.2751",11225
Hovd,"44.67024, 102.17491",27924
Lospalos,"-8.52167, 126.99833",17186
Lixin,"34.91222, 105.08056",16753
Edelény,"48.3, 20.73333",11037
Lahore,"31.558, 74.35071",6310888
Daska Kalan,"32.32422, 74.35039",126924
Mukō,"34.96545, 135.70415",56859
Handa,"34.88333, 136.93333",116119
Marijampolė,"54.55991, 23.35412",34975
Briceni,"48.35628, 27.70293",14132
Minbu,"20.18059, 94.87595",57342
Atarasquillo,"19.32831, -99.46899",13769
Camarillo,"34.21639, -119.0376",67608
Dardoq,"40.81583, 72.83166",26055
Puerto Píritu,"10.05896, -65.03698",37745
Burgersdorp,"-30.99766, 26.32862",19159
Roosevelt,"40.67871, -73.58902",16258
Holíč,"48.81105, 17.16238",11174
Yany Kapu,"45.95547, 33.79261",30700
Kostopil,"50.87841, 26.45192",30838
Washington,"54.9, -1.51667",53526
Chipping Sodbury,"51.53813, -2.39379",36108
Hedge End,"50.91234, -1.30076",17978
Francheville,"45.73637, 4.76358",12053
Uslar,"51.6569, 9.63501",15951
Springfield,"42.10148, -72.58981",154341
Bloomington,"44.8408, -93.29828",86435
